,journal1,journal2,weight
450,EMBO J,Gene,295
451,Journal of Biological Chemistry,Nat Cell Biol,294
452,BMJ,Nature,294
453,Development,Journal of Biological Chemistry,293
454,Nature,eLife,293
455,BioEssays,Nature,293
456,NME,Rolling Stone,293
457,Endocrinology,PNAS,292
458,Genomics,The EMBO Journal,292
459,BMC Evolutionary Biology,Science,292
460,J Clin Invest,PNAS,291
461,Annals of Internal Medicine,Lancet,291
462,Acta Palaeontologica Polonica,PLoS ONE,291
463,Biology Letters,Science,290
464,Curr Biol,Genome Res,290
465,J Virol,Journal of Biological Chemistry,290
466,Astronomy and Astrophysics,Astrophysical Journal,290
467,Earth and Planetary Science Letters,Nature,289
468,Journal of Biological Chemistry,The Journal of Neuroscience,289
469,Biochim Biophys Acta,Genomics,289
470,Journal of Paleontology,Journal of Vertebrate Paleontology,288
471,EMBO Rep,Genome Res,288
472,Nature Neuroscience,PNAS,288
473,Fauna of New Zealand,Transactions and Proceedings of the New Zealand Institute,288
474,Cancer Res,Genome Res,288
475,Biology Letters,PLoS ONE,287
476,Annals of the New York Academy of Sciences,Science,287
477,Neuron,The Journal of Neuroscience,287
478,PLoS ONE,Zoological Journal of the Linnean Society,286
479,Evolution,PNAS,286
480,Genomics,Hum Mol Genet,285
481,Biochemistry,Biochimica et Biophysica Acta,285
482,Nature Cell Biology,PNAS,284
483,Nature,Nature Reviews Molecular Cell Biology,283
484,FEBS Lett,Gene,283
485,Cell,Genome Biology,283
486,Molecular Cell,Molecular and Cellular Biology,283
487,Journal of Biological Chemistry,Journal of Virology,283
488,BioEssays,Science,283
489,Nature Reviews Genetics,Science,283
490,American Journal of Human Genetics,PLoS ONE,282
491,Nature,Nature Cell Biology,281
492,Biochemistry,FEBS Letters,281
493,FEBS Lett,The Biochemical Journal,280
494,Genome Res,J Cell Sci,279
495,Exp Cell Res,PNAS,279
496,Astronomy and Astrophysics,Nature,279
497,Genomics,Nature Genetics,279
498,Journal of Bacteriology,Journal of Biological Chemistry,278
499,BMC Genomics,PNAS,277
500,Gene,Nucleic Acids Res,277
501,Journal of Mammalogy,Mammalian Species,277
502,Journal of Biological Chemistry,Mol Syst Biol,276
503,Cochrane Database of Systematic Reviews,The Cochrane Database of Systematic Reviews,276
504,Arch Biochem Biophys,Journal of Biological Chemistry,276
505,J Neurosci,Journal of Biological Chemistry,276
506,Lancet,N Engl J Med,275
507,BMJ,PLoS ONE,275
508,Cell,Curr Biol,275
509,Nature Neuroscience,Science,275
510,Astronomy and Astrophysics,CDSADC Collection of Electronic Catalogues,274
511,PLOS Biology,Science,274
512,Molecular Cell,The EMBO Journal,274
513,Development,Science,273
514,Biochemical and Biophysical Research Communications,Genome Research,273
515,PNAS,eLife,273
516,JAMA,Nature,273
517,Nat Genet,The Biochemical Journal,272
518,Immunity,PNAS,272
519,EMBO J,FEBS Lett,272
520,EMBO J,Nucleic Acids Res,272
521,EMBO J,Mol Cell,272
522,Cell,Nature Cell Biology,272
523,Publications of the Astronomical Society of the Pacific,The Astrophysical Journal,271
524,PLoS ONE,The New England Journal of Medicine,271
525,Nature Reviews Genetics,PNAS,271
526,Oncogene,The Biochemical Journal,271
527,Journal of Systematic Palaeontology,Journal of Vertebrate Paleontology,270
528,Molecular Biology of the Cell,PNAS,270
529,Gene,PLoS ONE,270
530,Journal of Virology,Science,270
531,Biochimica et Biophysica Acta,FEBS Letters,270
532,Biochemistry,PLoS ONE,269
533,FEBS Letters,The EMBO Journal,269
534,Cell,Journal of Cell Science,269
535,Genome Res,Proc Natl Acad Sci U S A,269
536,Genome Research,Nature Genetics,269
537,Human Genetics,Journal of Biological Chemistry,268
538,Human Molecular Genetics,Science,268
539,Science,eLife,268
540,Cell,Nat Biotechnol,268
541,PLOS Biology,PNAS,267
542,J Immunol,Nature,267
543,Nature,Structure,267
544,Nature,Proceedings of the Royal Society B,266
545,Biology Letters,PNAS,266
546,PLoS ONE,Zootaxa,266
547,JAMA,Science,266
548,Hum Genet,Journal of Biological Chemistry,265
549,Blood,Oncogene,265
550,BMJ,The New England Journal of Medicine,265
551,Genome Res,J Mol Biol,265
552,Molecular Phylogenetics and Evolution,PNAS,264
553,Cancer Research,Oncogene,264
554,Journal of Paleontology,Palaeontology,264
555,Nature,Nature Reviews Neuroscience,262
556,Journal of Personality and Social Psychology,Psychological Bulletin,261
557,Molecular Biology of the Cell,Nature,261
558,European Journal of Biochemistry,Journal of Biological Chemistry,261
559,Biochemistry,Journal of Molecular Biology,261
560,Human Genetics,Nature,260
561,Physical Review,Physical Review Letters,260
562,Nat Biotechnol,Nat Genet,260
563,Genome Res,Mol Cell,260
564,Nature,Science Advances,259
565,FASEB Journal,Journal of Biological Chemistry,259
566,Animal Behaviour,Behavioral Ecology and Sociobiology,259
567,Science,Science Advances,258
568,Earth and Planetary Science Letters,Science,258
569,Journal of Biological Chemistry,Scientific Reports,257
570,Physical Review Letters,Reviews of Modern Physics,257
571,Astronomy  Astrophysics,Nature,257
572,Cell,J Mol Biol,257
573,Billboard,Rolling Stone,257
574,Cancer Res,Oncogene,257
575,Biographical Memoirs of Fellows of the Royal Society,Nature,257
576,Cell,Nature Reviews Molecular Cell Biology,257
577,Animal Behaviour,Nature,257
578,Nature,The Astronomical Journal,256
579,Biochemical and Biophysical Research Communications,Nature Genetics,255
580,J Neurosci,Nature,255
581,Current Biology,Nature Communications,255
582,Nature,Palaeontology,254
583,The EMBO Journal,The Journal of Cell Biology,254
584,Exp Cell Res,Journal of Biological Chemistry,254
585,Cretaceous Research,PLoS ONE,254
586,FEBS Lett,Mol Cell Biol,254
587,J Am Chem Soc,Journal of the American Chemical Society,253
588,The Astrophysical Journal,The Astrophysical Journal Supplement Series,253
589,Genes  Development,The EMBO Journal,253
590,Immunity,Journal of Biological Chemistry,252
591,Genomics,PLoS ONE,252
592,Genes Dev,Science,252
593,BioScience,Science,252
594,Genomics,Nucleic Acids Research,252
595,Acta Palaeontologica Polonica,Nature,251
596,EMBO Reports,Nature,251
597,American Journal of Human Genetics,Cell,250
598,Annual Review of Biochemistry,Journal of Biological Chemistry,250
599,Cytogenet Cell Genet,Genome Res,250
600,Nature,Nature Geoscience,249
601,Cell,Genetics,249
602,Journal of Biological Chemistry,Nature Biotechnology,249
603,BMJ,Science,249
604,Nature Geoscience,Science,249
605,Proc Natl Acad Sci U S A,Science,249
606,Nature,Naturwissenschaften,249
607,PNAS,RNA,249
608,Genome Biol,PNAS,249
609,Science,The American Naturalist,249
610,JAMA,PLoS ONE,248
611,Annals of Internal Medicine,JAMA,248
612,Lancet,Pediatrics,248
613,Genes Dev,Genome Res,248
614,PNAS,Physical Review Letters,248
615,Cretaceous Research,Journal of Vertebrate Paleontology,248
616,Biochemical and Biophysical Research Communications,Cancer Res,248
617,FEBS Letters,The Biochemical Journal,247
618,Nature,The American Naturalist,247
619,EMBO Reports,PNAS,247
620,American Journal of Human Genetics,Human Molecular Genetics,247
621,Biochimica et Biophysica Acta,The Biochemical Journal,246
622,J Cell Biol,Nat Genet,246
623,Journal of Biological Chemistry,Nature Medicine,246
624,Nature Reviews Molecular Cell Biology,Science,245
625,Journal of Vertebrate Paleontology,PeerJ,245
626,Journal of Cell Science,The Journal of Cell Biology,245
627,Genomics,Human Molecular Genetics,245
628,BMC Genomics,Nature,244
629,Geophysical Research Letters,Journal of Geophysical Research,243
630,Journal of Paleontology,Nature,243
631,PLoS ONE,The Cochrane Database of Systematic Reviews,243
632,FEBS Letters,Molecular and Cellular Biology,243
633,Nature,PLoS Biology,243
634,Nature Neuroscience,Neuron,243
635,Cancer Res,Cell,243
636,British Medical Journal,Lancet,242
637,Oncogene,PLoS ONE,242
638,Gene,Nucleic Acids Research,242
639,Genome Biology,Science,242
640,Biochemical and Biophysical Research Communications,Nucleic Acids Res,242
641,Nature,New Scientist,242
642,Biochemistry,Biochim Biophys Acta,242
643,Biochemical and Biophysical Research Communications,J Cell Biol,242
644,Annual Review of Biochemistry,Nature,242
645,FEBS Lett,Science,242
646,Nature,Palaeogeography Palaeoclimatology Palaeoecology,242
647,Journal of Biological Chemistry,The Journal of Experimental Medicine,242
648,Animal Behaviour,Science,241
649,Genome Research,Molecular and Cellular Biology,240
650,PLoS ONE,Palaeontology,240
651,Circulation,Journal of Biological Chemistry,240
652,Journal of Biological Chemistry,Lancet,240
653,Cell,Molecular Biology of the Cell,239
654,Annual Review of Biochemistry,PNAS,239
655,Eur J Biochem,Nature,239
656,Nature Reviews Neuroscience,Science,238
657,Nature,Zoological Journal of the Linnean Society,238
658,Experimental Cell Research,Journal of Biological Chemistry,237
659,Immunity,Nature,237
660,Journal of Theoretical Biology,Nature,237
661,Science,The Journal of Clinical Investigation,237
662,Oncogene,The EMBO Journal,237
663,Botanical Journal of the Linnean Society,Phytotaxa,237
664,J Cell Biol,Science,237
665,Cell,Nature Medicine,236
666,Physical Review A,Physical Review Letters,236
667,New England Journal of Medicine,Science,236
668,Mol Syst Biol,Nature,236
669,Biochemical and Biophysical Research Communications,Nucleic Acids Research,236
670,Biochemistry,FEBS Lett,235
671,PNAS,The Journal of Experimental Medicine,235
672,JAMA,New England Journal of Medicine,235
673,Mol Cell Proteomics,PNAS,235
674,Cell,Nature Biotechnology,235
675,FEBS Letters,PLoS ONE,235
676,Nature Genetics,Nucleic Acids Research,234
677,PLoS Biology,Science,234
678,Gene,Molecular and Cellular Biology,234
679,EMBO J,Genes Dev,233
680,Entertainment Weekly,Spin,233
681,Am J Hum Genet,Genomics,233
682,Nature,PeerJ,233
683,Biochim Biophys Acta,The Biochemical Journal,232
684,Biochim Biophys Acta,Nat Genet,232
685,Nature,Physics Today,231
686,Cellular and Molecular Life Sciences,PNAS,231
687,Nature,Trends in Genetics,231
688,Eur J Biochem,Genome Res,231
689,Neurology,PNAS,231
690,Circulation Research,Journal of Biological Chemistry,231
691,Journal of Biological Chemistry,Journal of the American Chemical Society,230
692,EMBO J,J Cell Biol,230
693,Astronomy and Astrophysics,Publications of the Astronomical Society of the Pacific,230
694,Anal Biochem,PNAS,230
695,Mol Cell,Science,230
696,PLoS ONE,The EMBO Journal,230
697,Nature Reviews Molecular Cell Biology,PNAS,230
698,Journal of Cell Science,Science,230
699,J Cell Biol,Mol Cell Biol,230
700,Current Biology,Scientific Reports,230
701,Nature,New England Journal of Medicine,230
702,NME,Q,230
703,Angewandte Chemie International Edition,Science,230
704,Journal of Immunology,Science,229
705,Curr Biol,Science,229
706,Journal of Bacteriology,Nature,229
707,J Exp Med,PNAS,229
708,DNA Research,Journal of Biological Chemistry,229
709,Int J Cancer,PNAS,229
710,Molecular Phylogenetics and Evolution,Science,228
711,Entertainment Weekly,NME,228
712,Cell,Scientific Reports,228
713,Science,Trends in Ecology  Evolution,227
714,Biochimica et Biophysica Acta,PLoS ONE,227
715,Monthly Notices of the Royal Astronomical Society,Science,227
716,Nature,Trends in Ecology  Evolution,227
717,Nat Cell Biol,Nature,227
718,Journal of Biological Chemistry,Virology,227
719,Anal Biochem,Genome Res,226
720,Genes  Development,Molecular Cell,226
721,Cytogenetics and Cell Genetics,Journal of Biological Chemistry,226
722,ZooKeys,Zootaxa,226
723,Astronomy and Astrophysics,The Astrophysical Journal Supplement Series,226
724,PNAS,Trends in Biochemical Sciences,226
725,Annals of Internal Medicine,BMJ,225
726,Billboard,Spin,225
727,Journal of Paleontology,PLoS ONE,225
728,Molecular and Cellular Biology,Nature Genetics,225
729,Molecular Phylogenetics and Evolution,Zootaxa,225
730,Cell,Mol Biol Cell,225
731,Nature Reviews Neuroscience,PNAS,225
732,Molecular Phylogenetics and Evolution,Nature,225
733,Cancer Research,PLoS ONE,224
734,Journal of Biological Chemistry,The New England Journal of Medicine,224
735,PLoS Biology,PNAS,224
736,Circulation,Lancet,224
737,Publications of the Astronomical Society of the Pacific,The Astronomical Journal,223
738,Cytogenet Cell Genet,Nature,223
739,Gene,The EMBO Journal,223
740,Nature,Nature Structural  Molecular Biology,223
741,Palaeogeography Palaeoclimatology Palaeoecology,Science,222
742,Genomics,J Cell Biol,222
743,Proceedings of the Royal Society B,Science,222
744,Biochimica et Biophysica Acta,Genomics,222
745,Neuroscience,PNAS,221
746,Cell,Journal of Virology,221
747,Biochemical and Biophysical Research Communications,Cancer Research,221
748,Cancer Research,Molecular and Cellular Biology,221
749,Blood,PLoS ONE,221
750,Entertainment Weekly,Q,220
751,Journal of Human Evolution,Nature,220
752,Monthly Notices of the Royal Astronomical Society,The Astrophysical Journal Supplement Series,220
753,Journal of Molecular Biology,PLoS ONE,220
754,Cancer Res,Genomics,219
755,Ecology,Science,219
756,Journal of Molecular Biology,The EMBO Journal,219
757,Cellular and Molecular Life Sciences,Journal of Biological Chemistry,218
758,PLoS ONE,The Journal of Neuroscience,218
759,Monthly Notices of the Royal Astronomical Society,Publications of the Astronomical Society of the Pacific,218
760,Nature Cell Biology,Science,218
761,PLoS ONE,Palaeogeography Palaeoclimatology Palaeoecology,218
762,Nature,The Journal of Experimental Medicine,218
763,Journal of Biological Chemistry,Trends in Biochemical Sciences,218
764,J Mol Biol,Science,218
765,EMBO Rep,Nucleic Acids Res,218
766,Acta Palaeontologica Polonica,Palaeontology,218
767,Mol Cell Biol,The Biochemical Journal,217
768,Animal Behaviour,PLoS ONE,217
769,Journal of Systematic Palaeontology,PLoS ONE,217
770,Nature,Trends in Biochemical Sciences,216
771,Applied and Environmental Microbiology,PNAS,216
772,PNAS,Trends in Ecology  Evolution,215
773,Blood,Gene,215
774,Neuron,PLoS ONE,215
775,Cochrane Database of Systematic Reviews,Lancet,215
776,PNAS,Trends in Genetics,215
777,Genome Res,Nat Cell Biol,215
778,Cell,Proc Natl Acad Sci U S A,214
779,Cell Cycle,PNAS,214
780,Cell,The Journal of Clinical Investigation,214
781,BioScience,Nature,214
782,Biochim Biophys Acta,Science,213
783,Cell,Hum Mol Genet,213
784,FASEB J,Journal of Biological Chemistry,213
785,Biochemical and Biophysical Research Communications,Human Molecular Genetics,213
786,J Cell Biol,J Cell Sci,213
787,PNAS,The American Naturalist,212
788,Cell Cycle,Journal of Biological Chemistry,212
789,FEBS Letters,Gene,212
790,Biochimica et Biophysica Acta,Journal of Molecular Biology,211
791,Human Mutation,Journal of Biological Chemistry,211
792,FEBS Letters,Nucleic Acids Research,211
793,PNAS,Science Advances,211
794,American Journal of Physical Anthropology,Nature,211
795,Biochemistry,Nucleic Acids Research,211
796,Cancer Res,Mol Cell Biol,211
797,Journal of Immunology,The Journal of Experimental Medicine,210
798,Annual Review of Biochemistry,Science,210
799,Astronomy Letters,Monthly Notices of the Royal Astronomical Society,210
800,Mol Biol Cell,Nat Genet,210
801,Circulation,Nature,210
802,American Family Physician,The Cochrane Database of Systematic Reviews,210
803,Diabetes,Journal of Biological Chemistry,210
804,Nature,Neurology,209
805,Cell,Journal of Immunology,209
806,FASEB J,PNAS,209
807,Biochemical and Biophysical Research Communications,The Journal of Cell Biology,209
808,Chemical Reviews,Science,209
809,Annals of Internal Medicine,The Cochrane Database of Systematic Reviews,208
810,Molecular Ecology,Science,208
811,PLOS Genetics,PNAS,208
812,Genome Research,The EMBO Journal,208
813,Nature,RNA,208
814,Nature Structural  Molecular Biology,PNAS,208
815,Biochemistry,The EMBO Journal,208
816,Cell,J Cell Sci,208
817,Naturwissenschaften,PLoS ONE,207
818,JAMA,N Engl J Med,207
819,Biochim Biophys Acta,Cell,207
820,Genome Biology,Journal of Biological Chemistry,207
821,NME,Spin,207
822,Journal of Bacteriology,Science,207
823,EMBO Reports,Science,207
824,Nature,Virology,206
825,Blood,Journal of Immunology,206
826,Biochemical and Biophysical Research Communications,Journal of Immunology,206
827,Astronomy and Astrophysics,VizieR Online Data Catalog Bgcvs  Originally Published in 2009yCat102025S,206
828,The New York Times,Variety,206
829,Nature,Physical Review,206
830,Blood,Genome Res,206
831,Molecular Ecology,PNAS,205
832,JAMA,PNAS,205
833,Bioinformatics,PNAS,205
834,Journal of Personality and Social Psychology,Psychological Science,205
835,EMBO J,The Biochemical Journal,205
836,FEBS Letters,Journal of Molecular Biology,205
837,American Journal of Human Genetics,Genomics,205
838,Cell,Genome Biol,205
839,New Scientist,Science,205
840,The Astronomical Journal,The Astrophysical Journal Supplement Series,205
841,Cell,The Journal of Neuroscience,205
842,Genome Res,J Immunol,204
843,Hum Genet,Nature,204
844,Nature Reviews Microbiology,PNAS,204
845,PeerJ,Science,204
846,DNA Res,Genomics,204
847,Astrophysical Journal,Nature,204
848,Ecology,Nature,204
849,Nature,Physical Review B,204
850,PLoS ONE,The Biochemical Journal,204
851,Chemical Reviews,Nature,204
852,Journal of Personality and Social Psychology,Personality and Social Psychology Bulletin,203
853,FASEB Journal,PNAS,203
854,Journal of the American Chemical Society,The Journal of Organic Chemistry,203
855,J Neurosci,Science,203
856,Genes Dev,Genomics,203
857,EMBO Reports,Journal of Biological Chemistry,202
858,Science,Trends in Genetics,202
859,Journal of Experimental Biology,Nature,202
860,Palaeontology,Science,202
861,Journal of Biological Chemistry,Journal of Neurochemistry,202
862,J Virol,Nature,202
863,Nature Genetics,The EMBO Journal,202
864,Nature,PLOS Genetics,202
865,American Journal of Human Genetics,Human Genetics,202
866,International Journal of Cancer,Journal of Biological Chemistry,202
867,Eur J Biochem,Genomics,201
868,Nat Genet,Proc Natl Acad Sci U S A,201
869,Nature,Philosophical Transactions of the Royal Society B Biological Sciences,201
870,Astronomy  Astrophysics,Astronomy Letters,201
871,Cellular and Molecular Life Sciences,Nature,201
872,Molecular Cell,Nucleic Acids Research,201
873,Mamm Genome,PNAS,201
874,Astronomy  Astrophysics,Astrophysical Journal,201
875,Human Mutation,PNAS,200
876,Journal of Personality and Social Psychology,Psychological Review,200
877,American Journal of Physical Anthropology,PLoS ONE,200
878,FEBS Letters,Genome Research,200
